FileNumber,iterations,TotalCSum,MaxFlipsResultSum,FlipsResultSum,satisfiedCSum,SolvedSum,nOfRuns
056,300,325000,300000,279694,322115,149,1000
039,300,325000,300000,280636,322064,148,1000
088,300,325000,300000,272999,323208,227,1000
094,300,325000,300000,240860,323499,470,1000
073,300,325000,300000,222540,323826,521,1000
049,300,325000,300000,283061,322662,134,1000
016,300,325000,300000,292146,321509,70,1000
018,300,325000,300000,242971,323012,404,1000
059,300,325000,300000,276361,322514,184,1000
046,300,325000,300000,294764,321847,50,1000
055,300,325000,300000,296420,322365,26,1000
022,300,325000,300000,255166,323418,354,1000
050,300,325000,300000,256211,322546,316,1000
037,300,325000,300000,294508,322188,47,1000
080,300,325000,300000,271922,322761,219,1000
017,300,325000,300000,260846,323061,296,1000
066,300,325000,300000,262002,323297,304,1000
057,300,325000,300000,292967,322112,57,1000
093,300,325000,300000,247402,323399,385,1000
01,300,325000,300000,258260,322534,329,1000
012,300,325000,300000,296379,321680,25,1000
03,300,325000,300000,297151,321353,33,1000
067,300,325000,300000,293538,321669,59,1000
071,300,325000,300000,285620,322583,106,1000
053,300,325000,300000,278479,321782,177,1000
019,300,325000,300000,291805,321845,80,1000
083,300,325000,300000,294640,322273,46,1000
077,300,325000,300000,218091,323941,560,1000
098,300,325000,300000,259028,322845,325,1000
014,300,325000,300000,273030,322756,212,1000
045,300,325000,300000,283809,322230,127,1000
033,300,325000,300000,202156,323902,646,1000
04,300,325000,300000,296595,321433,28,1000
062,300,325000,300000,288466,321451,103,1000
069,300,325000,300000,284320,322479,121,1000
032,300,325000,300000,288960,322289,78,1000
096,300,325000,300000,294108,322552,46,1000
028,300,325000,300000,294643,322443,43,1000
02,300,325000,300000,245433,323587,430,1000
084,300,325000,300000,284872,321492,130,1000
082,300,325000,300000,278297,322435,179,1000
076,300,325000,300000,289603,322479,83,1000
027,300,325000,300000,278286,322696,171,1000
034,300,325000,300000,286354,322784,119,1000
078,300,325000,300000,279651,322214,157,1000
021,300,325000,300000,263446,322694,293,1000
07,300,325000,300000,291328,321880,75,1000
091,300,325000,300000,292944,321996,61,1000
010,300,325000,300000,236412,323778,442,1000
074,300,325000,300000,277684,322534,159,1000
085,300,325000,300000,247579,323540,400,1000
092,300,325000,300000,273813,322607,194,1000
075,300,325000,300000,276330,322326,175,1000
05,300,325000,300000,294663,322016,48,1000
048,300,325000,300000,272867,322566,203,1000
036,300,325000,300000,291563,321545,76,1000
026,300,325000,300000,289821,322527,89,1000
063,300,325000,300000,275760,322948,217,1000
064,300,325000,300000,288237,322957,106,1000
0100,300,325000,300000,286729,322391,112,1000
060,300,325000,300000,286843,321973,104,1000
089,300,325000,300000,270595,323106,230,1000
011,300,325000,300000,290574,322402,86,1000
042,300,325000,300000,264641,322744,264,1000
052,300,325000,300000,292822,322199,47,1000
044,300,325000,300000,288955,321728,98,1000
038,300,325000,300000,293064,320475,57,1000
013,300,325000,300000,256458,323028,371,1000
051,300,325000,300000,294464,322002,51,1000
08,300,325000,300000,296063,322002,26,1000
070,300,325000,300000,280039,322354,175,1000
031,300,325000,300000,283253,322573,138,1000
023,300,325000,300000,286583,322689,117,1000
090,300,325000,300000,297074,322573,20,1000
024,300,325000,300000,283594,322588,130,1000
068,300,325000,300000,245799,323349,355,1000
072,300,325000,300000,276704,323004,187,1000
041,300,325000,300000,294230,321528,53,1000
087,300,325000,300000,200613,324128,625,1000
040,300,325000,300000,296774,321600,26,1000
035,300,325000,300000,272721,322683,229,1000
065,300,325000,300000,264644,322859,284,1000
020,300,325000,300000,290539,322290,90,1000
030,300,325000,300000,293168,322073,58,1000
081,300,325000,300000,281593,321648,149,1000
025,300,325000,300000,166945,324513,794,1000
099,300,325000,300000,281893,321780,129,1000
061,300,325000,300000,286901,321678,114,1000
086,300,325000,300000,292342,322549,69,1000
09,300,325000,300000,244113,323551,418,1000
097,300,325000,300000,295948,322024,38,1000
06,300,325000,300000,284681,322361,132,1000
095,300,325000,300000,293371,321649,64,1000
043,300,325000,300000,284819,322235,123,1000
029,300,325000,300000,280853,322600,150,1000
054,300,325000,300000,280774,322378,142,1000
079,300,325000,300000,286106,322149,115,1000
015,300,325000,300000,288506,322334,93,1000
047,300,325000,300000,240915,323566,439,1000
058,300,325000,300000,284478,322486,116,1000
